n_eig,points,ratio,kernel_time,pred_time,rmsq,kernel_shape
100,5939,0.05,0.9475858211517334,1.2422268390655518,0.20164291993251465,"torch.Size([5939, 5939])"
100,5939,0.1,0.7441108226776123,0.8169050216674805,0.1995763826878527,"torch.Size([5939, 5939])"
100,5939,0.15,0.6974587440490723,0.8018567562103271,0.20259342751255563,"torch.Size([5939, 5939])"
100,5939,0.2,0.7031943798065186,0.8196258544921875,0.19953731498127658,"torch.Size([5939, 5939])"
200,5939,0.05,1.4537382125854492,0.8101849555969238,0.164836943921897,"torch.Size([5939, 5939])"
200,5939,0.1,1.4522535800933838,0.8161489963531494,0.16296336892404376,"torch.Size([5939, 5939])"
200,5939,0.15,1.6013832092285156,0.7943036556243896,0.16520423448179594,"torch.Size([5939, 5939])"
200,5939,0.2,1.3663198947906494,0.7275924682617188,0.16387216296866022,"torch.Size([5939, 5939])"
300,5939,0.05,2.2552871704101562,0.771712064743042,0.13202865421465634,"torch.Size([5939, 5939])"
300,5939,0.1,2.2044811248779297,0.8029775619506836,0.13422660537311115,"torch.Size([5939, 5939])"
300,5939,0.15,2.2309868335723877,0.8178000450134277,0.13567464284220188,"torch.Size([5939, 5939])"
300,5939,0.2,2.2802062034606934,0.8037228584289551,0.13265746261437913,"torch.Size([5939, 5939])"
500,5939,0.05,6.532639503479004,0.7394893169403076,0.11542119511796477,"torch.Size([5939, 5939])"
500,5939,0.1,6.701629161834717,0.7837145328521729,0.11974777917480749,"torch.Size([5939, 5939])"
500,5939,0.15,6.739603042602539,0.7908482551574707,0.1202821033942827,"torch.Size([5939, 5939])"
500,5939,0.2,7.326436281204224,0.6822280883789062,0.12164374661152695,"torch.Size([5939, 5939])"
